id,name,official_id,entrance_lat,entrance_lng,exit_lat,exit_lng,area_name,is_active,is_invalid
4,オムニバス (ID: 151),151,35.632993,139.879729,35.632982,139.879729,,true,false
5,カリブの海賊 (ID: 152),152,35.634270,139.880582,35.634377,139.880531,,true,false
6,ジャングルクルーズ (ID: 153),153,35.633780,139.882328,35.633787,139.882326,,true,false
7,ジャングルクルーズ：ワイルドライフ・エクスペディション,,35.633778,139.882339,35.633789,139.882339,,true,false
8,ウエスタンリバー鉄道 (ID: 154),154,35.633673,139.882277,35.633499,139.882446,,true,false
9,スイスファミリー・ツリーハウス (ID: 155),155,35.633462,139.881891,35.633475,139.881781,,true,false
10,魅惑のチキルーム (ID: 156),156,35.633163,139.882082,35.633163,139.882084,,true,false
11,ウエスタンランド・シューティングギャラリー (ID: 157),157,35.632590,139.883313,35.632564,139.883280,,true,false
12,シューティングギャラリー (ID: 157),157,35.632555,139.883307,35.632533,139.883264,,true,false
13,カントリーベア・シアター (ID: 158),158,35.632296,139.882436,35.632309,139.882398,,true,false
14,蒸気船マークトウェイン号 (ID: 159),159,35.631661,139.882892,35.631474,139.882935,,true,false
15,ビッグサンダーマウンテン (ID: 160),160,35.632339,139.883203,35.632189,139.883447,,true,false
16,トムソーヤ島いかだ (ID: 161),161,35.632001,139.883685,35.631993,139.883640,,true,false
17,スプラッシュマウンテン (ID: 162),162,35.630636,139.883147,35.630737,139.883117,,true,false
18,ビーバーブラザーズのカヌー探険 (ID: 163),163,35.630985,139.883938,35.630959,139.883919,,true,false
19,ピーターパン空の旅 (ID: 164),164,35.631724,139.881864,35.631709,139.881835,,true,false
20,白雪姫と七人のこびと (ID: 165),165,35.631652,139.881355,35.631668,139.881315,,true,false
21,シンデレラのフェアリーテイル・ホール (ID: 166),166,35.631914,139.880869,35.631901,139.880877,,true,false
22,ミッキーのフィルハーマジック (ID: 167),167,35.631406,139.880942,35.631391,139.880950,,true,false
23,ピノキオの冒険旅行 (ID: 168),168,35.630907,139.880483,35.630926,139.880438,,true,false
24,空飛ぶダンボ (ID: 169),169,35.631495,139.881813,35.631539,139.881784,,true,false
25,キャッスルカルーセル (ID: 170),170,35.631356,139.881103,35.631345,139.881092,,true,false
26,ホーンテッドマンション (ID: 171),171,35.631275,139.881859,35.631016,139.881956,,true,false
27,イッツ・ア・スモールワールド (ID: 172),172,35.630689,139.880794,35.630643,139.880775,,true,false
28,アリスのティーパーティー (ID: 173),173,35.631164,139.881132,35.631147,139.881151,,true,true
29,プーさんのハニーハント (ID: 174),174,35.630710,139.880274,35.630859,139.879912,,true,false
30,ロジャーラビットのカートゥーンスピン (ID: 175),175,35.629780,139.880116,35.629778,139.880097,,true,false
31,ミニーの家 (ID: 176),176,35.630144,139.879011,35.630150,139.879075,,true,false
32,チップとデールのツリーハウス (ID: 178),178,35.630429,139.878761,35.630370,139.878855,,true,false
33,ガジェットのゴーコースター (ID: 179),179,35.630484,139.878826,35.630479,139.878710,,true,false
34,ドナルドのボート (ID: 180),180,35.630392,139.879013,35.630401,139.879072,,true,false
35,グーフィーのペイント＆プレイハウス (ID: 181),181,35.630357,139.879265,35.630362,139.879172,,true,false
36,スター・ツアーズ:ザ・アドベンチャーズ・コンティニュー,,35.633586,139.878477,35.633677,139.878740,,true,false
37,モンスターズ・インク"ライド&ゴーシーク!" (ID: 189),189,35.633865,139.878683,35.633836,139.878691,,true,false
38,ペニーアーケード (ID: 191),191,35.634013,139.879716,35.633978,139.879753,,true,false
39,トゥーンパーク (ID: 194),194,35.630490,139.879461,35.630486,139.879496,,true,false
40,スティッチ・エンカウンター (ID: 195),195,35.632112,139.878989,35.632132,139.878960,,true,false
41,ベイマックスのハッピーライド (ID: 196),196,35.631892,139.878702,35.631656,139.879134,,true,false
42,美女と野獣"魔法のものがたり" (ID: 197),197,35.631210,139.878233,35.631500,139.878329,,true,false

